geracao,barras,potencias,energias,violacao,custo
0,"[11, 14]","[17.6657307978777, 34.949298289703314]","[79.49776083288731, 152.6330172686015]",327.7777777777778,284.7458071890698
0,"[11, 14]","[17.6657307978777, 34.949298289703314]","[79.49776083288731, 159.8471750751983]",327.7777777777778,284.7458071890698
0,"[13, 11]","[26.058152063473987, 67.2342009346917]","[68.3792399440647, 114.5504734751706]",713.8888888888889,276.222066417401
0,"[4, 12]","[67.98319880186145, 25.58708476684224]","[116.1128152952229, 156.88278202396992]",267.3611111111111,366.5658808878965
0,"[2, 15]","[69.08290321811921, 35.26821139769504]","[117.36473689836741, 141.12800356095315]",292.3611111111111,362.8438550751348
0,"[4, 10]","[49.11902579230551, 43.2035025953176]","[164.71705283064287, 148.26528286134175]",176.38888888888886,405.30486407960774
0,"[13, 7]","[49.510392787755656, 43.853481848740195]","[147.32169153445224, 73.71341118816017]",343.75,314.39897735910824
0,"[4, 1]","[79.7049407426077, 30.692261415085625]","[107.09834367983797, 92.56737540768104]",431.94444444444446,310.06292124521235
0,"[5, 3]","[65.14633466410635, 52.16887184568253]","[87.2983980840461, 82.88946977970738]",869.4444444444445,287.50307437354235
0,"[3, 5]","[32.07231658162834, 97.48626820944311]","[92.86786747418938, 118.39617693717419]",767.3611111111111,340.822629202435
0,"[3, 5]","[26.462970450282842, 98.09570476011363]","[92.86786747418938, 118.39617693717419]",767.3611111111111,340.822629202435
0,"[11, 6]","[54.744438349772196, 36.797684301029975]","[181.61124774547665, 116.7028950765032]",671.5277777777778,389.856265472782
0,"[10, 1]","[90.9896590829529, 21.805681358295626]","[130.05524840745682, 155.23125820399352]",582.6388888888889,398.0818470526989
0,"[10, 11]","[61.23740850110991, 64.54995360473724]","[61.61393021219518, 123.39191576294483]",803.4722222222223,310.79320808098714
0,"[7, 15]","[88.43134248609358, 37.976243425087056]","[130.41006580674735, 42.42342380458637]",913.1944444444446,299.2410755225144
0,"[7, 15]","[88.43134248609358, 32.31128832803027]","[124.31449140425507, 42.42342380458637]",913.1944444444446,299.2410755225144
0,"[11, 15]","[44.876609674742454, 70.04945876637169]","[51.03885187727596, 130.18030325847258]",1076.3888888888887,296.1452235768627
0,"[10, 6]","[52.690708893696836, 46.329808990099295]","[139.85338683366314, 163.66904397868603]",705.5555555555555,402.5429486961453
