hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
15, 2400.00000, 24.5257, 6.06743, 27.6318, 15.462, 22.4683, 17.9444, 0, 0
15, 3000.00000, 23.8308, 5.95293, 26.8568, 15.3653, 21.829, 17.8591, 0, 0
16, 0.00000, 23.7615, 5.94152, 26.7795, 15.3556, 21.7652, 17.8506, 0, 0
16, 600.00000, 23.6576, 5.92453, 26.6636, 15.3411, 21.6697, 17.8378, 0, 0
16, 1200.00000, 23.6226, 5.91859, 26.6245, 15.3363, 21.6374, 17.8336, 0, 0
16, 1800.00000, 23.8638, 5.95756, 26.894, 15.3701, 21.8591, 17.8639, 0, 0
16, 2400.00000, 24.1774, 6.00967, 27.2436, 15.4136, 22.1477, 17.902, 0, 0
16, 3000.00000, 24.9415, 6.13529, 28.0957, 15.5201, 22.8509, 17.9961, 0, 0
17, 0.00000, 25.1853, 6.17557, 28.3674, 15.554, 23.0753, 18.0259, 0, 0
17, 600.00000, 26.0208, 6.31299, 29.2982, 15.6704, 23.8444, 18.1289, 0, 0
17, 1200.00000, 26.2291, 6.34697, 29.5303, 15.6995, 24.0361, 18.1548, 0, 0
17, 1800.00000, 26.6489, 6.41667, 29.9975, 15.7578, 24.4229, 18.2061, 0, 0
17, 2400.00000, 27.6619, 6.58354, 31.1248, 15.8988, 25.3561, 18.3311, 0, 0
17, 3000.00000, 29.9778, 6.96659, 33.698, 16.2211, 27.4917, 18.6168, 0, 0
18, 0.00000, 31.9692, 7.24293, 35.796, 16.2893, 29.3529, 18.5252, 0, 0
18, 600.00000, 34.0601, 7.55726, 38.1049, 16.6483, 31.2304, 18.8184, 0, 0
18, 1200.00000, 34.5053, 7.61727, 38.5997, 16.7305, 31.6242, 18.8879, 0, 0
18, 1800.00000, 35.0186, 7.68615, 39.1701, 16.8248, 32.0778, 18.9675, 0, 0
18, 2400.00000, 34.6765, 7.64045, 38.79, 16.7622, 31.7756, 18.9147, 0, 0
18, 3000.00000, 34.4039, 7.60321, 38.487, 16.7117, 31.5343, 18.8718, 0, 0
