hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
26, 0.00000, 18.7211, 1.73115, 20.2604, 5.10969, 16.5648, 4.75351, 0, 0
26, 600.00000, 18.4868, 1.69539, 20.0102, 5.03096, 16.3598, 4.68249, 0, 0
26, 1200.00000, 18.4188, 1.68529, 19.9376, 5.00879, 16.3, 4.66232, 0, 0
26, 1800.00000, 18.4185, 1.68531, 19.9372, 5.00887, 16.2996, 4.66234, 0, 0
26, 2400.00000, 18.3851, 1.68024, 19.9015, 4.99765, 16.2703, 4.65223, 0, 0
26, 3000.00000, 18.4852, 1.69547, 20.0084, 5.03137, 16.3578, 4.68261, 0, 0
27, 0.00000, 18.4522, 1.69036, 19.9733, 5.02002, 16.3292, 4.67245, 0, 0
27, 600.00000, 18.4186, 1.6853, 19.9374, 5.00883, 16.2998, 4.66233, 0, 0
27, 1200.00000, 18.3182, 1.67013, 19.8301, 4.97523, 16.2119, 4.632, 0, 0
27, 1800.00000, 17.9487, 1.61519, 19.435, 4.85297, 15.8878, 4.52131, 0, 0
27, 2400.00000, 17.6467, 1.57086, 19.1121, 4.75347, 15.6232, 4.43122, 0, 0
27, 3000.00000, 17.4797, 1.54639, 18.9334, 4.69818, 15.477, 4.38127, 0, 0
28, 0.00000, 17.3788, 1.5319, 18.8254, 4.66534, 15.3885, 4.35145, 0, 0
28, 600.00000, 17.2115, 1.50777, 18.6463, 4.61044, 15.2419, 4.30174, 0, 0
28, 1200.00000, 17.1774, 1.50308, 18.6098, 4.59974, 15.2118, 4.29192, 0, 0
28, 1800.00000, 17.0771, 1.48869, 18.5024, 4.56685, 15.124, 4.26215, 0, 0
28, 2400.00000, 17.2101, 1.508, 18.6448, 4.61098, 15.2402, 4.30196, 0, 0
28, 3000.00000, 17.3108, 1.52239, 18.7527, 4.64376, 15.3286, 4.33171, 0, 0
29, 0.00000, 17.4448, 1.54173, 18.896, 4.6877, 15.4459, 4.37151, 0, 0
29, 600.00000, 17.4788, 1.54652, 18.9324, 4.69852, 15.4759, 4.3814, 0, 0
29, 1200.00000, 17.7126, 1.58078, 19.1826, 4.77594, 15.6805, 4.45137, 0, 0
29, 1800.00000, 17.7471, 1.58558, 19.2195, 4.78667, 15.7111, 4.46126, 0, 0
29, 2400.00000, 17.7806, 1.5905, 19.2554, 4.79771, 15.7405, 4.47126, 0, 0
29, 3000.00000, 17.6138, 1.56587, 19.077, 4.74221, 15.5946, 4.42116, 0, 0
30, 0.00000, 16.5448, 1.47212, 18.0074, 4.62079, 14.5493, 4.31308, 0, 0
30, 600.00000, 16.1622, 1.46726, 17.6048, 4.58686, 14.1818, 4.27639, 0, 0
30, 1200.00000, 16.0622, 1.45353, 17.4977, 4.55464, 14.0943, 4.24729, 0, 0
30, 1800.00000, 16.0448, 1.45965, 17.4803, 4.56487, 14.0734, 4.25541, 0, 0
30, 2400.00000, 16.0024, 1.47468, 17.4379, 4.58989, 14.0223, 4.27547, 0, 0
30, 3000.00000, 15.9261, 1.50182, 17.3617, 4.63496, 13.9305, 4.31168, 0, 0
31, 0.00000, 15.7669, 1.50949, 17.1957, 4.63811, 13.7718, 4.31117, 0, 0
31, 600.00000, 15.5867, 1.51683, 17.0074, 4.63892, 13.5933, 4.30821, 0, 0
31, 1200.00000, 15.2603, 1.52025, 16.6648, 4.62151, 13.2768, 4.28719, 0, 0
31, 1800.00000, 15.1184, 1.53941, 16.5181, 4.64617, 13.1277, 4.30503, 0, 0
31, 2400.00000, 14.8315, 1.53803, 16.2161, 4.62174, 12.8532, 4.27901, 0, 0
31, 3000.00000, 13.9719, 1.5222, 15.3083, 4.52341, 12.041, 4.18013, 0, 0
32, 0.00000, 13.6788, 1.54345, 15.0022, 4.53754, 11.7475, 4.18667, 0, 0
32, 600.00000, 12.2747, 1.53777, 13.519, 4.39958, 10.4184, 4.0463, 0, 0
32, 1200.00000, 9.64793, 1.56507, 10.74, 4.17467, 7.934, 3.81566, 0, 0
32, 1800.00000, 9.1355, 1.57528, 10.1974, 4.13495, 7.44971, 3.77475, 0, 0
32, 2400.00000, 6.35745, 1.65174, 7.24931, 3.92384, 4.83568, 3.56016, 0, 0
32, 3000.00000, 5.3774, 1.69713, 6.20939, 3.87075, 3.91098, 3.50447, 0, 0
33, 0.00000, 2.03778, 1.89342, 2.65796, 3.71925, 0.766657, 3.34342, 0, 0
33, 600.00000, 1.29637, 1.95931, 1.8705, 3.71546, 0.062565, 3.3346, 0, 0
33, 1200.00000, 0.159091, 2.05918, 0.66004, 3.70092, -1.01223, 3.31388, 0, 0
33, 1800.00000, -0.816253, 2.14272, -0.380818, 3.67855, -1.9286, 3.28773, 0, 0
33, 2400.00000, 2.90604, 2.13387, 3.36841, 3.72816, 1.75653, 3.33143, 0, 0
33, 3000.00000, 2.20307, 2.20186, 2.62765, 3.74522, 1.07877, 3.34124, 0, 0
34, 0.00000, 6.34021, 2.35224, 6.83202, 3.99943, 5.15961, 3.60174, 0, 0
34, 600.00000, 5.18287, 2.39652, 5.61955, 3.95758, 4.04929, 3.55522, 0, 0
34, 1200.00000, 4.38758, 2.42621, 4.78211, 3.91889, 3.29214, 3.51422, 0, 0
34, 1800.00000, 4.26814, 2.46397, 4.66549, 3.97551, 3.15778, 3.56386, 0, 0
34, 2400.00000, 4.13154, 2.47524, 4.52409, 3.98122, 3.02359, 3.56819, 0, 0
34, 3000.00000, 4.1587, 2.47022, 4.55228, 3.97668, 3.05086, 3.56431, 0, 0
35, 0.00000, 3.83258, 2.46006, 4.20125, 3.91597, 2.75606, 3.50729, 0, 0
35, 600.00000, 3.52224, 2.44315, 3.86476, 3.84417, 2.48018, 3.44029, 0, 0
35, 1200.00000, 3.39735, 2.42511, 3.72617, 3.79419, 2.3761, 3.39441, 0, 0
35, 1800.00000, 3.30317, 2.39238, 3.61587, 3.72046, 2.30937, 3.32722, 0, 0
35, 2400.00000, 3.14922, 2.36284, 3.44188, 3.64377, 2.18624, 3.25675, 0, 0
35, 3000.00000, 2.84611, 2.34411, 3.1106, 3.5668, 1.91947, 3.18451, 0, 0
36, 0.00000, 3.04539, 2.33452, 3.32125, 3.57586, 2.10829, 3.19409, 0, 0
36, 600.00000, 2.99101, 2.34428, 3.26536, 3.58575, 2.05304, 3.20261, 0, 0
36, 1200.00000, 3.38755, 2.31949, 3.68249, 3.59154, 2.4334, 3.21093, 0, 0
36, 1800.00000, 3.40768, 2.31889, 3.70357, 3.5923, 2.45282, 3.21184, 0, 0
36, 2400.00000, 3.65639, 2.32153, 3.97027, 3.62972, 2.68041, 3.24745, 0, 0
36, 3000.00000, 3.68987, 2.32372, 4.00658, 3.63751, 2.71044, 3.25489, 0, 0
37, 0.00000, 3.61001, 2.32719, 3.9222, 3.63345, 2.63485, 3.25069, 0, 0
37, 600.00000, 3.7096, 2.32275, 4.02759, 3.63855, 2.72907, 3.25604, 0, 0
37, 1200.00000, 3.93255, 2.36413, 4.27717, 3.74422, 2.90967, 3.35262, 0, 0
37, 1800.00000, 4.49923, 2.39194, 4.89095, 3.86886, 3.41605, 3.46964, 0, 0
37, 2400.00000, 4.87564, 2.4154, 5.29882, 3.95903, 3.75041, 3.5537, 0, 0
37, 3000.00000, 5.59243, 2.45622, 6.07266, 4.12099, 4.39082, 3.70449, 0, 0
38, 0.00000, 6.27787, 2.51439, 6.81627, 4.3088, 4.99306, 3.87786, 0, 0
38, 600.00000, 8.02217, 2.55474, 8.66982, 4.56612, 6.60408, 4.12131, 0, 0
38, 1200.00000, 8.80723, 2.59489, 9.50679, 4.71657, 7.31958, 4.26157, 0, 0
38, 1800.00000, 10.0071, 2.69523, 10.7924, 5.01344, 8.39212, 4.53443, 0, 0
38, 2400.00000, 11.282, 2.74271, 12.1189, 5.15451, 9.61175, 4.67338, 0, 0
38, 3000.00000, 3.03911, 2.35091, 3.81865, 4.66528, 1.42458, 4.1832, 0, 0
39, 0.00000, 5.81311, 2.21506, 6.76429, 4.83578, 4.01909, 4.34916, 0, 0
39, 600.00000, 6.87328, 2.19208, 7.89074, 4.93897, 5.00313, 4.44667, 0, 0
39, 1200.00000, 7.31824, 2.18985, 8.36387, 4.99342, 5.41309, 4.49718, 0, 0
39, 1800.00000, 8.47303, 2.17248, 9.5883, 5.10861, 6.4879, 4.6064, 0, 0
39, 2400.00000, 9.92556, 2.12667, 11.122, 5.20169, 7.86072, 4.70029, 0, 0
39, 3000.00000, 14.8296, 2.07184, 16.2899, 5.5916, 12.5115, 5.09638, 0, 0
40, 0.00000, 16.3364, 2.10713, 17.8769, 5.77209, 13.9327, 5.27376, 0, 0
40, 600.00000, 18.851, 2.20594, 20.5226, 6.1115, 16.3045, 5.60633, 0, 0
40, 1200.00000, 19.3235, 2.22893, 21.0191, 6.17808, 16.7513, 5.67196, 0, 0
40, 1800.00000, 21.2335, 2.37388, 23.0289, 6.52844, 18.5332, 6.00605, 0, 0
40, 2400.00000, 21.6424, 2.43322, 23.4615, 6.65208, 18.8983, 6.11801, 0, 0
40, 3000.00000, 22.8539, 2.59936, 24.74, 6.99544, 19.9898, 6.4308, 0, 0
41, 0.00000, 23.885, 2.70919, 25.8225, 7.22842, 20.94, 6.64674, 0, 0
41, 600.00000, 24.3911, 2.83293, 26.3547, 7.46758, 21.3591, 6.85075, 0, 0
41, 1200.00000, 25.0585, 2.91526, 27.0557, 7.63211, 21.9722, 7.00333, 0, 0
41, 1800.00000, 26.1314, 3.04676, 28.191, 7.92555, 22.9361, 7.26983, 0, 0
41, 2400.00000, 27.0633, 3.22666, 29.1784, 8.29542, 23.7312, 7.59279, 0, 0
41, 3000.00000, 20.6209, 2.43638, 22.8921, 7.86416, 17.0559, 7.11723, 0, 0
42, 0.00000, 22.4747, 2.73905, 24.7385, 8.34203, 18.7543, 7.50105, 0, 0
42, 600.00000, 24.4139, 3.12652, 26.7011, 9.02858, 20.4462, 8.05835, 0, 0
42, 1200.00000, 24.8333, 3.21574, 27.1207, 9.17973, 20.812, 8.17864, 0, 0
42, 1800.00000, 25.3168, 3.32017, 27.6043, 9.35464, 21.2345, 8.31844, 0, 0
42, 2400.00000, 24.9963, 3.25078, 27.2829, 9.23838, 20.9542, 8.22477, 0, 0
42, 3000.00000, 24.7381, 3.19537, 27.0246, 9.14525, 20.7286, 8.15051, 0, 0
43, 0.00000, 24.929, 3.23614, 27.217, 9.21453, 20.8956, 8.20682, 0, 0
43, 600.00000, 24.6095, 3.168, 26.8956, 9.09899, 20.6162, 8.11326, 0, 0
43, 1200.00000, 24.2532, 3.09274, 26.5391, 8.97157, 20.3049, 8.01175, 0, 0
43, 1800.00000, 23.1893, 2.87411, 25.4691, 8.59385, 19.3758, 7.70838, 0, 0
43, 2400.00000, 22.4751, 2.73878, 24.7387, 8.34266, 18.7538, 7.50111, 0, 0
43, 3000.00000, 22.02, 2.65559, 24.2706, 8.18389, 18.3576, 7.36883, 0, 0
44, 0.00000, 21.826, 2.62059, 24.0705, 8.11637, 18.1888, 7.31235, 0, 0
44, 600.00000, 21.7603, 2.6088, 24.0031, 8.09369, 18.1316, 7.29359, 0, 0
44, 1200.00000, 21.6953, 2.59714, 23.9361, 8.0712, 18.075, 7.27482, 0, 0
44, 1800.00000, 21.6303, 2.58552, 23.8692, 8.04874, 18.0184, 7.25607, 0, 0
44, 2400.00000, 21.5976, 2.57969, 23.8355, 8.03749, 17.99, 7.24669, 0, 0
44, 3000.00000, 21.3711, 2.5395, 23.6018, 7.95926, 17.7928, 7.18119, 0, 0
45, 0.00000, 21.1114, 2.49385, 23.3338, 7.86999, 17.5667, 7.10658, 0, 0
